,source_language,split,target_language
507,he 's been working all day long .,train,il a travaillé toute la journée .
508,he 's my partner .,train,c'est mon associé .
509,"he 's kind of cute , is n't he ?",train,"il est assez mignon , n'est-ce pas ?"
510,he 's got a boy-next-door look about him .,train,il a un air de garçon d'à coté .
511,he 's the scapegoat .,train,c'est lui le bouc émissaire .
512,he 's stronger than you .,train,il est plus fort que toi .
513,he 's swimming now .,train,il est en train de nager .
514,he 's a grown man .,train,c'est un adulte .
515,he 's your son .,train,c'est votre fils .
516,he 's on sentry duty .,train,il est de garde .
517,he 's a freelance journalist .,train,c'est un journaliste indépendant .
518,he 's crazy about her .,train,il est follement épris d'elle .
519,he 's not in our group .,train,il n'est pas dans notre groupe .
520,he 's your father .,train,il est ton père .
521,"he 's somewhat hard of hearing , so please speak louder .",train,"il est un peu dur d'oreille , alors veuillez parler plus fort ."
522,he 's a slowpoke .,train,c'est un lambin .
523,"he 's rich , but he 's not happy .",train,il est riche mais il n'est pas heureux .
524,he 's such a cold fish .,train,il est si distant .
525,he 's stalling for time .,train,il gagne du temps .
526,he 's in a state of shock .,train,il est en état de choc .
527,he 's the only one who survived .,train,il est le seul à avoir survécu .
528,he 's just arrived .,train,il vient d'arriver .
529,he 's much younger than tom .,train,il est beaucoup plus jeune que tom .
530,he 's an absolute fool .,train,il est complètement fou .
531,he 's a computer nerd .,train,c'est un informaticien boutonneux .
532,he 's such a sweetheart .,train,il est tellement adorable !
533,he 's afraid to dance .,train,il a peur de danser .
534,he 's a bad liar .,train,il ment mal .
535,he 's a democrat fundraiser .,train,c'est un collecteur de fonds pour le parti démocrate .
536,he 's still single .,train,il est toujours célibataire .
537,he 's a good person .,train,c'est quelqu'un de bien .
538,he 's a smooth talker .,train,c'est un baratineur .
539,he 's two years older than mary is .,train,il a deux ans de plus que mary .
540,he 's started writing a novel .,train,il a commencé à écrire un roman .
541,he 's a bit jealous .,train,il est quelque peu jaloux .
542,he 's spending too much time watching tv .,train,il passe trop de temps à regarder la télé .
543,he 's done this before .,train,il l'a fait auparavant .
544,he 's racking his brains about how to deal with the matter .,train,il se creuse la tête pour trouver comment régler cette affaire .
545,he 's nothing special . just another working stiff .,train,il n'est rien en particulier . juste un employé comme les autres .
546,he 's a jerk .,train,c'est un pauvre type .
547,he 's a cheat and a liar .,train,c'est un tricheur et un menteur .
548,"he 's kind of cute , is n't he ?",train,"il est mignon , dans son genre , non ?"
549,he 's been dead ten years .,train,ça fait dix ans qu'il est mort .
550,he 's all right .,val,il va bien .
551,he 's in grave danger .,val,il est en danger grave .
552,he 's making progress .,val,il fait des progrès .
553,he 's about to leave .,val,il est sur le point de s'en aller .
554,he 's my half-brother .,val,il est mon demi-frère .
555,he 's my friend . do you know him ?,val,c'est mon ami . le connaissez-vous ?
556,he 's my best friend .,val,il est mon meilleur ami .
557,he 's addicted to heroin .,val,il est dépendant à l'héroïne .
558,he 's come to make trouble .,val,il est venu pour causer des ennuis .
559,he 's probably sleeping .,val,"il dort , probablement ."
560,he 's a man now .,val,c'est désormais un homme .
561,he 's old enough to be her father .,val,il est assez vieux pour être son père .
562,he 's a famous artist .,val,c'est un artiste célèbre .
563,he 's right here .,val,il est juste là .
564,he 's not here yet .,val,il n'est pas encore là .
565,he 's now a college student .,val,il est maintenant étudiant en faculté .
566,he 's kind of handsome .,val,il est plutôt beau .
567,he 's able to speak japanese .,val,il sait parler japonais .
568,he 's a real man .,val,c'est un vrai mec .
569,he 's a chinese-american .,val,c'est un étasunien d'origine chinoise .
570,he 's a dj .,val,il est dj .
571,he 's rough around the edges .,val,il est un peu rude aux encoignures .
572,he 's probably wrong .,val,il a probablement tort .
573,he 's sure that he 'll pass the next exam .,val,il est certain de réussir le prochain examen .
574,he 's eager to speak to you .,val,il a hâte de vous parler .
575,he 's gone into hiding .,val,il se cache .
576,he 's good at cards .,val,il est bon aux cartes .
577,he 's angry at the world .,val,il est en colère après le monde .
578,he 's an opera lover .,val,il adore l'opéra .
579,he 's just like his grandfather .,val,il est exactement comme son grand-père .
580,he 's a world-class scientist .,val,c'est un scientifique de niveau international .
581,he 's ruthless .,val,il est sans pitié .
582,he 's new in town .,val,il est nouveau en ville .
583,he 's a scriptwriter .,val,il est scénariste .
584,he 's intelligent .,val,il est intelligent .
585,he 's an intelligent young man .,val,c'est un jeune homme intelligent .
586,he 's highly intelligent .,val,il est doté d'une grande intelligence .
587,he 's an interpreter in an international bank .,val,c'est un interprète dans une banque internationale .
588,he 's out taking a walk .,val,il est dehors en train de se promener .
589,he 's already left .,val,il s'en est déjà allé .
590,he 's cleaning his rifle .,val,il nettoie son fusil .
591,he 's addicted to heroin .,val,il est accro à l'héro .
592,he 's a married man .,val,c'est un homme marié .
593,he 's not in .,val,il n'est pas chez lui .
594,he 's very experienced .,val,il a beaucoup d'expérience .
595,he 's old and ugly .,val,il est vieux et laid .
596,he 's not always at home on sundays .,val,il n'est pas toujours chez lui le dimanche .
597,he 's a leading authority in his field .,val,c'est une pointure dans son domaine .
598,he 's the king 's most trusted advisor .,val,il est le conseiller le plus proche du roi .
599,he 's an accredited representative of the canadian government .,val,il est représentant accrédité du gouvernement canadien .
600,he 's my friend .,val,il est mon ami .
601,he 's my hero .,val,c'est mon héros .
602,he 's wearing a new coat .,val,il porte un nouveau manteau .
603,he 's overconfident .,val,il a trop confiance en lui-même .
604,he 's an expert at throwing knives .,val,c'est un expert du lancer de couteaux .
605,he 's away on vacation .,val,il est absent en congés .
606,he 's wearing a white cotton shirt .,val,il porte une chemise de coton blanc .
607,he 's coming .,val,il arrive .
608,he 's got the flu .,val,il a la grippe .
609,he 's mad at everyone .,val,il est en colère après tout le monde .
610,he 's about the same age as you are .,val,il a environ votre âge .
611,he 's not as tall as you are .,val,il n'est pas aussi grand que toi .
612,he 's raking it in .,val,il s'en fourre plein les fouilles .
613,he 's a fast walker .,val,c'est un marcheur rapide .
614,he 's a loose cannon .,val,c'est un électron libre .
615,he 's still at work .,val,il est encore au travail .
616,he 's my new friend .,val,c'est mon nouvel ami .
617,he 's not in yet .,val,il n'est pas encore là .
618,he 's my friend .,val,c'est mon ami .
619,he 's attracted to asian women .,val,il est attiré par les femmes asiatiques .
620,he 's an aristocrat .,val,il est aristocrate .
621,he 's already a man .,val,c'est déjà un homme .
622,he 's about the same age as you are .,val,il a à peu près le même âge que toi .
623,he 's working on it .,val,il y travaille .
624,he 's a freelance journalist .,val,il est pigiste .
625,he 's a sweet guy .,val,c'est un gentil garçon .
626,he 's a talented young director .,val,c'est un jeune metteur en scène plein de talent .
627,he 's not smart enough to add numbers in his head .,val,il n'a pas assez de cervelle pour faire des additions de tête .
628,he 's three years older than i am .,val,il a trois ans de plus que moi .
629,he 's on his last legs .,val,il est à bout de force .
630,he 's hiding in the closet .,val,il se cache dans la penderie .
631,he 's not stronger than me .,val,il n'est pas plus fort que moi .
632,he 's very likely to be late .,val,il est très probable qu'il soit en retard .
633,he 's a big coward .,val,c'est un grand lâche .
634,he 's three years older than me .,val,il est trois ans plus vieux que moi .
635,he 's gone into hiding .,val,il se planque .
636,he 's better at the piano than i am .,val,il est meilleur que moi au piano .
637,he 's known for that .,val,il est connu pour cela .
638,he 's swiss .,val,il est suisse .
639,he 's an ex-con .,val,c'est un ancien détenu .
640,he 's spending too much time on the computer .,val,il passe trop de temps à l'ordinateur .
641,he 's looking at you .,val,il vous regarde .
642,he 's afraid that he might be late .,val,il craint d'être en retard .
643,he 's going bald .,val,il devient chauve .
644,he 's not all there .,val,il n'est pas tout à fait là .
645,he 's waiting for you at home .,val,il t'attend chez lui .
646,he 's very fond of reading .,val,il adore la lecture .
647,he 's an independent thinker .,val,c'est un esprit indépendant .
648,he 's a creationist .,val,c'est un créationiste .
649,he 's a bigot .,val,c'est un bigot .
650,he 's a meth addict .,val,il est accro aux méthamphétamines .
651,he 's ready to go .,val,il est prêt à partir .
652,he 's aware of his own faults .,val,il est conscient de ses défauts .
653,he 's enjoying himself .,val,il s'amuse .
654,he 's on his way .,val,il est en route .
655,he 's outraged .,val,il est indigné .
656,he 's a strange character .,val,c'est un drôle de personnage .
657,he 's feeling really low .,val,il a le moral très bas .
658,he 's a construction worker .,val,c'est un travailleur du bâtiment .
659,he 's not married .,val,il n'est pas marié .
660,he 's fresh out of college .,val,il vient de sortir de l'université .
661,he 's here for me .,val,il est ici pour moi .
662,he 's offered to help .,val,il a offert son assistance .
663,he 's a weak-willed man .,val,c'est un homme de faible volonté .
664,he 's certain to succeed .,val,c'est sûr qu'il réussira .
665,he 's so thin that he looks like a skeleton .,val,il est tellement maigre qu'il ressemble à un squelette .
666,he 's drunk .,val,il est soûl .
667,he 's attracted to black women .,val,il est attiré par les négresses .
